AVERAGED ALTITUDE UPTO THAT INSTANT,Pressure (milliBar),Temp Celcius
-20.5266,1009.6604,31
-20.5179,1009.6647,31
-20.6425,1009.7022,31
-20.7435,1009.6962,31
-20.7004,1009.6551,31
-20.9364,1009.7343,31
-21.1171,1009.7192,31
-21.1459,1009.676,31
-21.1877,1009.6804,31
-21.0428,1009.6267,31
-20.7953,1009.5968,31
-20.4727,1009.5744,31
-20.5621,1009.6931,31
-20.5321,1009.6588,31
-20.5689,1009.6782,31
-20.5348,1009.6573,31
-20.614,1009.6909,31
-20.4654,1009.6237,31
-20.4195,1009.6536,31
-20.4434,1009.6744,31
-20.4986,1009.684,31
-20.5032,1009.6685,31
-20.4641,1009.6551,31
-20.618,1009.714,31
-20.5788,1009.6557,31
-20.6817,1009.699,31
-20.7531,1009.6894,31
-21.0056,1009.746,31
-20.9959,1009.6647,31
-21.1382,1009.7124,31
-21.3036,1009.7199,31
-21.4295,1009.7081,31
-21.4324,1009.6691,31
-21.5829,1009.7162,31
-21.6607,1009.6931,31
-21.6666,1009.6707,31
-21.6311,1009.6573,31
-21.6018,1009.6595,31
-21.6588,1009.6873,31
-21.7856,1009.7097,31
-21.7852,1009.6685,31
-21.777,1009.6663,31
-21.8904,1009.7059,31
-21.806,1009.6417,31
-21.8284,1009.676,31
-21.9347,1009.7044,31
-21.9033,1009.6588,31
-22.0142,1009.7059,31
-22.062,1009.6849,31
-22.1377,1009.6947,31
-22.1586,1009.676,31
-22.0952,1009.6475,31
-22.0602,1009.6573,31
-22.107,1009.6849,31
-22.1092,1009.67,31
-22.034,1009.6433,31
-22.141,1009.7059,31
-22.2125,1009.694,31
-22.1869,1009.6604,31
-22.1724,1009.6641,31
-22.2774,1009.7059,31
-22.4178,1009.7186,31
-22.4063,1009.6657,31
-22.3895,1009.6635,31
-22.3799,1009.6663,31
-22.2796,1009.6342,31
-22.3272,1009.6866,31
-22.173,1009.6149,31
-22.1061,1009.6455,31
-22.0924,1009.6641,31
-22.245,1009.7246,31
-22.2186,1009.6598,31
-22.3281,1009.7089,31
-22.4663,1009.7202,31
-22.4654,1009.6694,31
-22.3698,1009.6351,31
-22.3041,1009.6455,31
-22.2934,1009.6657,31
-22.334,1009.6843,31
-22.3744,1009.6843,31
-22.4348,1009.6918,31
-22.2415,1009.5977,31
-22.376,1009.7202,31
-22.414,1009.6837,31
-22.4184,1009.671,31
-22.3676,1009.6507,31
-22.412,1009.6866,31
-22.4096,1009.6687,31
-22.3495,1009.6464,31
-22.4281,1009.6994,31
-22.534,1009.7105,31
-22.5428,1009.6732,31
-22.5466,1009.671,31
-22.4918,1009.6486,31
-22.4861,1009.6672,31
-22.5127,1009.68,31
-22.332,1009.5993,31
-22.2385,1009.6329,31
-22.2896,1009.6897,31
-22.2015,1009.6351,31
-22.1442,1009.6464,31
-21.9959,1009.6105,31
-21.8953,1009.6292,31
-21.8867,1009.6657,31
-21.82,1009.6426,31
-21.8932,1009.6987,31
-21.855,1009.6538,31
-21.9013,1009.6875,31
-21.8151,1009.6345,31
-21.8053,1009.665,31
